gene	GSM1220552	GSM1220553	GSM1220554	GSM1220555	GSM1220556	GSM1220557	GSM1220558	GSM1220559
ENSG00000240107	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000240108	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.00
ENSG00000240110	0.70	0.00	0.13	0.00	0.00	0.75	0.00	0.00
ENSG00000240111	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00
ENSG00000240115	0.00	0.06	0.03	1.09	0.15	0.00	0.02	0.02
ENSG00000240116	0.00	0.00	0.15	0.15	0.00	0.00	0.00	0.00
ENSG00000240118	27.74	10.88	26.40	36.26	37.74	21.39	22.67	20.90
ENSG00000240122	0.00	0.00	0.08	0.00	0.00	0.09	0.00	0.00
ENSG00000240125	0.13	0.14	0.41	0.07	0.16	0.46	0.06	0.00
ENSG00000240126	0.00	0.61	0.07	0.43	0.08	0.08	0.06	0.24
ENSG00000240127	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000240128	0.00	0.02	0.00	0.00	0.03	0.00	0.00	0.13
ENSG00000240132	0.05	0.09	0.03	0.05	0.06	0.17	0.11	0.04
ENSG00000240135	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
ENSG00000240137	3.77	1.22	1.52	1.34	3.38	3.33	1.05	4.97
ENSG00000240138	0.02	0.04	0.04	0.02	0.02	0.00	0.00	0.00
ENSG00000240143	1.67	0.98	1.27	0.84	3.22	1.37	0.82	4.44
ENSG00000240152	0.63	0.82	1.36	2.24	2.11	1.03	0.64	0.89
ENSG00000240160	0.00	0.00	0.13	0.25	0.00	0.13	0.11	0.00
ENSG00000240163	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00
ENSG00000240165	0.00	0.00	0.26	0.13	0.00	0.00	0.00	0.00
ENSG00000240167	0.10	0.06	0.05	0.00	0.18	0.00	0.09	0.12
ENSG00000240174	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00
ENSG00000240180	0.00	0.00	0.00	0.95	0.00	0.00	0.00	0.00
ENSG00000240184	0.41	4.11	1.12	2.54	0.89	1.99	5.52	0.58
ENSG00000240200	0.03	0.04	0.02	0.00	0.03	0.00	0.00	0.00
ENSG00000240204	1.71	1.04	6.56	0.59	1.27	1.93	0.27	1.45
ENSG00000240207	1.23	0.66	0.44	0.54	0.14	0.72	0.70	0.66
ENSG00000240210	0.04	0.00	0.25	0.00	0.09	0.00	0.16	0.00
ENSG00000240211	0.00	0.00	0.00	0.00	0.00	0.00	0.37	0.00
ENSG00000240216	0.02	0.02	0.06	0.04	0.00	0.09	0.01	0.01
